사번,분기,평가등급
E0292,2025Q1,B
E0292,2025Q2,B
E0292,2025Q3,B
E0292,2025Q4,S
E0293,2025Q1,B
E0293,2025Q2,A
E0293,2025Q3,A
E0293,2025Q4,S
E0294,2025Q1,D
E0294,2025Q2,A
E0294,2025Q3,B
E0294,2025Q4,B
E0295,2025Q1,C
E0295,2025Q2,B
E0295,2025Q3,B
E0295,2025Q4,C
E0296,2025Q1,D
E0296,2025Q2,A
E0296,2025Q3,A
E0296,2025Q4,B
E0297,2025Q1,A
E0297,2025Q2,B
E0297,2025Q3,B
E0297,2025Q4,C
E0298,2025Q1,B
E0298,2025Q2,D
E0298,2025Q3,B
E0298,2025Q4,S
E0299,2025Q1,A
E0299,2025Q2,D
E0299,2025Q3,B
E0299,2025Q4,B
E0300,2025Q1,C
E0300,2025Q2,B
E0300,2025Q3,S
E0300,2025Q4,B
